entity_id,entity_type,entity_name,normalized_name,role_or_description,affiliation,prominence_score,first_mention_record_id,total_mentions,related_entities,notes
C0063,Concept,Fake news,Fake news,,,8,RECORD-00046,3,,
C0064,Concept,Autocratic attempt,Autocratic attempt,,,8,RECORD-00048,1,,
C0065,Concept,Dueling realities,Dueling realities,,,4,RECORD-00048,1,,
C0066,Concept,Libertarian media system,Libertarian media system,,,5,RECORD-00048,1,,
C0067,Concept,Trump Bump,Trump Bump,,,4,RECORD-00048,1,,
C0068,Concept,Authoritarianism,Authoritarianism,,,6,RECORD-00049,1,,
C0069,Concept,Minority Rule,Minority Rule,,,4,RECORD-00049,1,,
C0070,Concept,Great Replacement Theory,Great Replacement Theory,,,6,RECORD-00050,1,,
C0071,Concept,Newsworthiness,Newsworthiness,,,7,RECORD-00050,1,,
C0072,Concept,Reason-Giving,Reason-Giving,,,7,RECORD-00052,1,,
C0074,Concept,Old-fashioned journalism,Old-fashioned journalism,,,8,RECORD-00054,1,,
C0075,Concept,fascism,fascism,,,9,RECORD-00054,1,,
C0076,Concept,Serious Journalism,Serious Journalism,,,8,RECORD-00055,1,,
C0077,Concept,Democracy,Democracy,,,7,RECORD-00055,4,,
C0078,Concept,Absolute Commercialization,Absolute Commercialization,,,7,RECORD-00056,3,,
C0079,Concept,Freedom of the Press,Freedom of the Press,,,8,RECORD-00056,6,,
C0080,Concept,Trust,Trust,,,9,RECORD-00058,2,,
C0081,Concept,Alt-right,Alt-right,,,5,RECORD-00058,1,,
C0082,Concept,Accountability journalism,Accountability journalism,,,7,RECORD-00058,3,,
C0083,Concept,Trumpism,Trumpism,,,5,RECORD-00058,1,,
C0084,Concept,Public issues,Public issues,,,6,RECORD-00058,1,,
C0085,Concept,Troubles,Troubles,,,6,RECORD-00058,1,,
C0086,Concept,Membership (in news),Membership (in news),,,10,RECORD-00059,1,,
C0087,Concept,Subscription (in news),Subscription (in news),,,9,RECORD-00059,1,,
C0088,Concept,Donations (in news),Donations (in news),,,8,RECORD-00059,1,,
C0089,Concept,Crowdfunding (in news),Crowdfunding (in news),,,7,RECORD-00059,1,,
C0090,Concept,Vanishing Moderator,Vanishing Moderator,,,9,RECORD-00063,1,,
C0091,Concept,Academic Freedom,Academic Freedom,,,8,RECORD-00064,1,,
C0092,Concept,Bias,Bias,,,7,RECORD-00065,10,,
C0093,Concept,Objective Journalism,Objective Journalism,,,7,RECORD-00065,6,,
C0094,Concept,Production of Innocence,Production of Innocence,,,8,RECORD-00065,3,,
C0095,Concept,Deliberation,Deliberation,,,5,RECORD-00066,1,,
C0096,Concept,Politics,Politics,,,5,RECORD-00066,1,,
C0097,Concept,Running records,Running records,,,9,RECORD-00068,1,,
C0098,Concept,The people formerly known as the audience,The people formerly known as the audience,Blog Post,,10,RECORD-00070,15,,
C0099,Concept,Wicked Problems,Wicked Problems,,,10,RECORD-00071,1,,
C0100,Concept,Agile Development,Agile Development,,,5,RECORD-00071,1,,
C0101,Concept,Waterfall Model,Waterfall Model,,,3,RECORD-00071,1,,
C0102,Concept,Citizen Journalism,Citizen Journalism,,,8,RECORD-00073,27,,
C0103,Concept,Open Source Journalism,Open Source Journalism,,,9,RECORD-00073,13,,
C0104,Concept,Explanatory Journalism,Explanatory Journalism,,,6,RECORD-00074,2,,
C0105,Concept,Journalistic authority,Journalistic authority,,,9,RECORD-00075,1,,
C0106,Concept,Mass audience,Mass audience,,,7,RECORD-00075,1,,
C0107,Concept,Political rhetoric,Political rhetoric,,,5,RECORD-00075,1,,
C0108,Concept,Echo chamber,Echo chamber,,,6,RECORD-00075,1,,
C0109,Concept,Attention scarcity,Attention scarcity,,,5,RECORD-00075,1,,
C0110,Concept,Active public,Active public,,,6,RECORD-00075,1,,
C0111,Concept,Old Testament Journalism,Old Testament Journalism,,,9,RECORD-00078,1,,
C0112,Concept,New Testament Journalism,New Testament Journalism,,,9,RECORD-00078,1,,
C0113,Concept,Democratic norms and traditions,Democratic norms and traditions,,,8,RECORD-00081,1,,
C0114,Concept,Democracy Beat,Democracy Beat,,,7,RECORD-00081,1,,
C0115,Concept,Censorship,Censorship,,,7,RECORD-00082,1,,
C0116,Concept,Surveillance,Surveillance,,,7,RECORD-00082,1,,
C0117,Concept,Killing of journalists with impunity,Killing of journalists with impunity,,,9,RECORD-00082,1,,
C0118,Concept,Investigative journalism,Investigative journalism,,,7,RECORD-00082,1,,
C0119,Concept,Democratic functions of journalism,Democratic functions of journalism,,,6,RECORD-00082,1,,
C0120,Concept,Internet shutdowns,Internet shutdowns,,,6,RECORD-00082,1,,
C0121,Concept,Digital profitability,Digital profitability,,,6,RECORD-00082,1,,
C0122,Concept,Erosion of trust in news,Erosion of trust in news,,,7,RECORD-00082,1,,
C0123,Concept,State-sponsored harassment of journalists,State-sponsored harassment of journalists,,,7,RECORD-00082,1,,
C0124,Concept,Mass layoffs in traditional newsrooms,Mass layoffs in traditional newsrooms,,,7,RECORD-00082,1,,
C0125,Concept,Adapting journalism to the web,Adapting journalism to the web,,,10,RECORD-00085,2,,
C0126,Concept,Pro-Am journalism,Pro-Am journalism,,,6,RECORD-00085,5,,
C0127,Concept,Public Scholarship,Public Scholarship,,,8,RECORD-00086,1,,
C0128,Concept,Journalistic truth,Journalistic truth,,,7,RECORD-00087,1,,
C0129,Concept,Alternative Facts,Alternative Facts,,,8,RECORD-00088,1,,
C0130,Concept,Reverse Verification,Reverse Verification,,,9,RECORD-00089,1,,
C0131,Concept,Climate Change Denialism,Climate Change Denialism,,,7,RECORD-00089,1,,
C0132,Concept,Climate Science,Climate Science,,,6,RECORD-00089,1,,
C0133,Concept,Resentment News,Resentment News,,,9,RECORD-00090,3,,
C0134,Concept,View From Somewhere,View From Somewhere,,,9,RECORD-00092,1,,
C0135,Concept,"Traditional, nonpartisan journalistic values","Traditional, nonpartisan journalistic values",,,7,RECORD-00094,1,,
C0136,Concept,Election Theft,Election Theft,,,8,RECORD-00096,1,,
C0137,Concept,Independent State Legislature Doctrine,Independent State Legislature Doctrine,,,7,RECORD-00096,1,,
C0138,Concept,Institutional Isomorphism,Institutional Isomorphism,,,8,RECORD-00097,1,,
C0139,Concept,Liberal Media Bias,Liberal Media Bias,,,7,RECORD-00097,1,,
C0140,Concept,False Balance,False Balance,,,5,RECORD-00097,4,,
C0141,Concept,Honest Journalism,Honest Journalism,,,7,RECORD-00098,1,,
C0142,Concept,Balanced Treatment of an Unbalanced Phenomenon,Balanced Treatment of an Unbalanced Phenomenon,,,8,RECORD-00098,1,,
C0143,Concept,Truth-Seeking,Truth-Seeking,,,7,RECORD-00098,1,,
C0144,Concept,Refuge-Seeking,Refuge-Seeking,,,7,RECORD-00098,1,,
C0145,Concept,Racism,Racism,,,8,RECORD-00099,2,,
C0146,Concept,White supremacy,White supremacy,,,6,RECORD-00099,1,,
C0147,Concept,Journalistic Cliches,Journalistic Cliches,,,10,RECORD-00100,2,,
C0148,Concept,Normalization,Normalization,,,7,RECORD-00102,1,,
C0149,Concept,Bipartisanship,Bipartisanship,,,4,RECORD-00102,1,,
C0150,Concept,Deal-making,Deal-making,,,4,RECORD-00102,1,,
C0151,Concept,Narcissistic personality types,Narcissistic personality types,,,5,RECORD-00102,1,,
C0152,Concept,Watchdog press,Watchdog press,,,8,RECORD-00103,1,,
C0153,Concept,Liberal bias,Liberal bias,,,9,RECORD-00103,5,,
C0154,Concept,Working the refs,Working the refs,,,8,RECORD-00103,2,,
C0155,Concept,Member-funded journalism,Member-funded journalism,,,9,RECORD-00104,1,,
C0156,Concept,Constructive journalism,Constructive journalism,,,7,RECORD-00104,1,,
C0157,Concept,Independent journalism,Independent journalism,,,7,RECORD-00106,1,,
C0158,Concept,Public interest journalism,Public interest journalism,,,6,RECORD-00106,1,,
C0159,Concept,Open-Source Methods,Open-Source Methods,,,7,RECORD-00107,1,,
C0160,Concept,Freedom of speech,Freedom of speech,,,6,RECORD-00108,2,,
C0161,Concept,Political Correctness,Political Correctness,,,6,RECORD-00109,1,,
C0162,Concept,Public Opinion,Public Opinion,,,6,RECORD-00110,5,,
C0163,Concept,Glasnost,Glasnost,,,4,RECORD-00110,3,,
C0164,Concept,Master Narrative,Master Narrative,,,10,RECORD-00111,4,,
C0165,Concept,Horse Race,Horse Race,,,8,RECORD-00111,2,,
C0166,Concept,Winning,Winning,,,9,RECORD-00111,1,,
C0167,Concept,Ombudsman,Ombudsman,,,9,RECORD-00113,3,,
C0168,Concept,Public Editor,Public Editor,,,8,RECORD-00113,4,,
C0169,Concept,Giving debate questions in advance,Giving debate questions in advance,,,10,RECORD-00114,2,,
C0170,Concept,Interactive Journalism,Interactive Journalism,,,8,RECORD-00115,2,,
C0171,Concept,Participatory Journalism,Participatory Journalism,,,6,RECORD-00115,2,,
C0172,Concept,Demagoguery,Demagoguery,,,7,RECORD-00117,1,,
C0173,Concept,Horse Race Coverage,Horse Race Coverage,,,9,RECORD-00118,3,,
C0174,Concept,Idea Race,Idea Race,,,9,RECORD-00118,3,,
C0175,Concept,Solutions Journalism,Solutions Journalism,,,5,RECORD-00121,2,,
C0176,Concept,Overdetermined plot,Overdetermined plot,,,8,RECORD-00122,1,,
C0177,Concept,Preventative journalism,Preventative journalism,,,4,RECORD-00122,1,,
C0178,Concept,Church of David Halberstam,Church of David Halberstam,,,3,RECORD-00122,1,,
C0179,Concept,Audience Empowerment,Audience Empowerment,,,9,RECORD-00123,2,,
C0180,Concept,Web journalism,Web journalism,,,9,RECORD-00124,2,,
C0181,Concept,Public's Right to Know,Public's Right to Know,,,4,RECORD-00125,1,,
C0182,Concept,attention-span politics,attention-span politics,,,4,RECORD-00125,1,,
C0183,Concept,Pragmatism,Pragmatism,,,4,RECORD-00126,2,,
C0184,Concept,Fact-based reporting,Fact-based reporting,,,7,RECORD-00129,2,,
C0185,Concept,Opinion and commentary,Opinion and commentary,,,7,RECORD-00129,2,,
C0186,Concept,Politics of News Judgment,Politics of News Judgment,,,8,RECORD-00130,2,,
C0187,Concept,Stenographic Norms of Journalism,Stenographic Norms of Journalism,,,5,RECORD-00130,1,,
C0188,Concept,Agenda-Setting,Agenda-Setting,,,7,RECORD-00130,1,,
C0189,Concept,Information Agenda,Information Agenda,,,6,RECORD-00130,1,,
C0190,Concept,Get Elected,Get Elected,,,9,RECORD-00131,2,,
C0191,Concept,Open Style,Open Style,,,6,RECORD-00131,2,,
C0192,Concept,Political Consulting,Political Consulting,,,6,RECORD-00131,1,,
C0193,Concept,Campaign journalism,Campaign journalism,,,6,RECORD-00132,2,,
C0194,Concept,Offline organizing,Offline organizing,,,6,RECORD-00132,1,,
C0195,Concept,Community,Community,,,7,RECORD-00132,2,,
C0196,Concept,"Exit, Voice and Loyalty","Exit, Voice and Loyalty",,,6,RECORD-00133,2,,
C0197,Concept,Spin Alley,Spin Alley,,,10,RECORD-00135,5,,
C0198,Concept,Information Theory,Information Theory,,,7,RECORD-00135,2,,
C0199,Concept,The War on Terror,The War on Terror,,,6,RECORD-00136,1,,
C0200,Concept,Weblog,Weblog,,,8,RECORD-00137,6,,
C0201,Concept,Audience,Audience,,,6,RECORD-00137,1,,
C0202,Concept,Non-partisan reporting,Non-partisan reporting,,,7,RECORD-00138,1,,
C0203,Concept,Neutral professionalism,Neutral professionalism,,,7,RECORD-00138,2,,
C0204,Concept,Investigative Reporting,Investigative Reporting,,,8,RECORD-00139,3,,
C0205,Concept,The medium is the message,The medium is the message,,,5,RECORD-00140,2,,
C0206,Concept,Media Ecology,Media Ecology,,,6,RECORD-00140,3,,
C0207,Concept,Gift Economy,Gift Economy,,,7,RECORD-00142,3,,
C0208,Concept,Market Economy,Market Economy,,,7,RECORD-00142,2,,
C0209,Concept,Fair and Balanced,Fair and Balanced,,,6,RECORD-00143,4,,
C0210,Concept,Collective Truth-Making,Collective Truth-Making,,,6,RECORD-00145,1,,
C0211,Concept,Rule of Links,Rule of Links,,,4,RECORD-00145,1,,
C0212,Concept,Gatekeeper Model of a Professionalized Press,Gatekeeper Model of a Professionalized Press,,,6,RECORD-00146,1,,
C0213,Concept,Human Nature,Human Nature,,,6,RECORD-00146,1,,
C0214,Concept,Monoculture,Monoculture,,,5,RECORD-00146,2,,
C0215,Concept,Public politics,Public politics,,,4,RECORD-00147,1,,
C0216,Concept,Marketplace of Ideas,Marketplace of Ideas,,,5,RECORD-00148,1,,
C0217,Concept,Print Culture,Print Culture,,,3,RECORD-00148,1,,
C0218,Concept,Blogosphere,Blogosphere,,,3,RECORD-00148,2,,
C0219,Concept,Anti-Semitism,Anti-Semitism,,,8,RECORD-00150,1,,
C0220,Concept,Culture of control,Culture of control,,,9,RECORD-00153,2,,
C0221,Concept,Public Accountability,Public Accountability,,,8,RECORD-00153,2,,
C0222,Concept,Press Criticism,Press Criticism,,,8,RECORD-00154,1,,
C0223,Concept,Public Conversation,Public Conversation,,,8,RECORD-00154,2,,
C0224,Concept,Bias in the media,Bias in the media,,,10,RECORD-00156,1,,
C0225,Concept,Weblogging,Weblogging,,,10,RECORD-00158,3,,
C0226,Concept,Traditional Journalism,Traditional Journalism,,,7,RECORD-00158,2,,
C0227,Concept,Talk Radio,Talk Radio,,,5,RECORD-00158,2,,
C0228,Concept,Opinion Formation,Opinion Formation,,,6,RECORD-00158,2,,
C0229,Concept,Public Relations,Public Relations,,,7,RECORD-00159,1,,
C0230,Concept,Public Happiness,Public Happiness,,,6,RECORD-00160,1,,
C0231,Concept,"He Said, She Said Journalism","He Said, She Said Journalism",,,7,RECORD-00161,6,,
C0232,Concept,Users-Know-More-than-We-Do Journalism,Users-Know-More-than-We-Do Journalism,,,6,RECORD-00161,1,,
C0233,Concept,Theory in Journalism,Theory in Journalism,,,7,RECORD-00163,1,,
C0234,Concept,Cluelessness,Cluelessness,,,8,RECORD-00164,2,,
C0235,Concept,Journalism ethics,Journalism ethics,,,6,RECORD-00165,4,,
C0236,Concept,Open society,Open society,,,7,RECORD-00165,2,,
C0237,Concept,Dutch Colonialism,Dutch Colonialism,,,7,RECORD-00165,2,,
C0238,Concept,The Media,The Media,,,7,RECORD-00167,2,,
C0239,Concept,Public Sphere,Public Sphere,,,6,RECORD-00167,1,,
C0240,Concept,First Amendment,First Amendment,,,5,RECORD-00167,1,,
C0241,Concept,Public,Public,,,6,RECORD-00167,1,,
C0242,Concept,Awayness of Things,Awayness of Things,,,6,RECORD-00167,1,,
C0243,Concept,Intervention,Intervention,,,8,RECORD-00168,1,,
C0244,Concept,Bloggers,Bloggers,,,9,RECORD-00169,2,,
C0245,Concept,Propaganda,Propaganda,,,8,RECORD-00169,2,,
C0246,Concept,Chatham House Rule,Chatham House Rule,,,5,RECORD-00170,1,,
C0247,Concept,Mainstream Media,Mainstream Media,,,6,RECORD-00170,7,,
C0248,Concept,Spin,Spin,,,8,RECORD-00172,3,,
C0249,Concept,Fact-checking,Fact-checking,,,6,RECORD-00174,1,,
C0250,Concept,Online Journalism,Online Journalism,,,6,RECORD-00174,1,,
C0251,Concept,Bias discourse,Bias discourse,,,7,RECORD-00175,1,,
C0252,Concept,Objective press,Objective press,,,8,RECORD-00175,1,,
C0253,Concept,Politics 2.0,Politics 2.0,,,8,RECORD-00177,1,,
C0254,Concept,Open Source Politics,Open Source Politics,,,7,RECORD-00177,1,,
C0255,Concept,Mainstream Journalism,Mainstream Journalism,,,8,RECORD-00178,1,,
C0256,Concept,Liberal Media,Liberal Media,,,6,RECORD-00178,2,,
C0257,Concept,De-certification of the press,De-certification of the press,,,8,RECORD-00181,4,,
C0258,Concept,Fourth Estate,Fourth Estate,,,7,RECORD-00181,5,,
C0259,Concept,Networked Journalism,Networked Journalism,,,8,RECORD-00185,8,,
C0260,Concept,Parliament Hill “scrum”,Parliament Hill “scrum”,,,6,RECORD-00186,1,,
C0261,Concept,World citizenship,World citizenship,,,7,RECORD-00188,1,,
C0262,Concept,Local knowledge,Local knowledge,,,5,RECORD-00188,1,,
C0263,Concept,Free Press,Free Press,,,9,RECORD-00190,1,,
C0264,Concept,Journalistic Professionalism,Journalistic Professionalism,,,8,RECORD-00194,1,,
C0265,Concept,Diversity in Journalism,Diversity in Journalism,,,9,RECORD-00194,2,,
C0266,Concept,Group think,Group think,,,8,RECORD-00194,1,,
C0267,Concept,Producerist vision,Producerist vision,,,7,RECORD-00195,1,,
C0268,Concept,Moore's Law,Moore's Law,,,5,RECORD-00195,1,,
C0269,Concept,Public Square,Public Square,,,5,RECORD-00195,2,,
C0270,Concept,Smear Campaign,Smear Campaign,,,7,RECORD-00196,1,,
C0271,Concept,Era of Omniscience,Era of Omniscience,,,4,RECORD-00197,1,,
C0272,Concept,Newspaper blogging,Newspaper blogging,,,7,RECORD-00198,2,,
C0273,Concept,Blogging,Blogging,,,8,RECORD-00200,8,,
C0274,Concept,Credibility,Credibility,,,7,RECORD-00200,2,,
C0275,Concept,Neutral Point of View,Neutral Point of View,,,6,RECORD-00200,2,,
C0276,Concept,Guerrilla Journalism,Guerrilla Journalism,,,6,RECORD-00200,1,,
C0277,Concept,Credibility problems,Credibility problems,,,7,RECORD-00201,1,,
C0278,Concept,Moral Values,Moral Values,,,10,RECORD-00202,1,,
C0279,Concept,Prior Restraint,Prior Restraint,,,4,RECORD-00203,1,,
C0280,Concept,Broadcast Politics,Broadcast Politics,,,8,RECORD-00204,1,,
C0281,Concept,Net Roots,Net Roots,,,5,RECORD-00204,1,,
C0282,Concept,Open Source Photo Essay,Open Source Photo Essay,,,7,RECORD-00205,1,,
C0283,Concept,Social Network Journalism,Social Network Journalism,,,6,RECORD-00205,1,,
C0284,Concept,Intentional Journalism,Intentional Journalism,,,6,RECORD-00206,1,,
C0285,Concept,Great Communicator,Great Communicator,,,8,RECORD-00207,1,,
C0286,Concept,Teflon President,Teflon President,,,5,RECORD-00207,1,,
C0287,Concept,Third Person Effect,Third Person Effect,,,5,RECORD-00207,1,,
C0288,Concept,Migration of advertising to the web,Migration of advertising to the web,,,7,RECORD-00208,1,,
C0289,Concept,Legacy media,Legacy media,,,6,RECORD-00208,2,,
C0290,Concept,Media Bias,Media Bias,,,7,RECORD-00209,4,,
C0291,Concept,Public Life,Public Life,,,7,RECORD-00209,1,,
C0292,Concept,Rollback,Rollback,Blog Post,,9,RECORD-00210,3,,
C0293,Concept,Conflict of Interest,Conflict of Interest,,,8,RECORD-00213,1,,
C0294,Concept,Socially Responsible Journalism,Socially Responsible Journalism,,,7,RECORD-00220,1,,
C0295,Concept,Harvesting Market Position,Harvesting Market Position,,,7,RECORD-00220,1,,
C0296,Concept,citizen journalists,citizen journalists,,,5,RECORD-00223,1,,
C0297,Concept,independent press,independent press,,,7,RECORD-00223,1,,
C0298,Concept,News as Conversation,News as Conversation,,,9,RECORD-00225,2,,
C0299,Concept,Mainstream Model (of journalism),Mainstream Model (of journalism),,,6,RECORD-00225,1,,
C0300,Concept,Sky Box,Sky Box,,,9,RECORD-00226,2,,
C0301,Concept,Demand for messages,Demand for messages,,,10,RECORD-00227,1,,
C0302,Concept,Masses,Masses,,,8,RECORD-00227,1,,
C0303,Concept,Mass Media,Mass Media,,,7,RECORD-00227,1,,
C0304,Concept,Cynicism,Cynicism,,,6,RECORD-00228,1,,
C0305,Concept,New Media Journalism,New Media Journalism,,,9,RECORD-00231,1,,
C0306,Concept,Community Reporting,Community Reporting,,,8,RECORD-00231,1,,
C0307,Concept,Civic Dialogue,Civic Dialogue,,,7,RECORD-00231,1,,
C0308,Concept,Press solidarity,Press solidarity,,,8,RECORD-00232,1,,
C0309,Concept,Professionalism,Professionalism,,,7,RECORD-00234,1,,
C0310,Concept,Diversity Hiring,Diversity Hiring,,,7,RECORD-00234,1,,
C0311,Concept,Freedom of Expression,Freedom of Expression,,,8,RECORD-00234,1,,
C0312,Concept,Journalistic Credibility,Journalistic Credibility,,,7,RECORD-00234,1,,
C0313,Concept,Objectivity in Journalism,Objectivity in Journalism,,,7,RECORD-00234,1,,
C0314,Concept,Bush Thesis,Bush Thesis,,,9,RECORD-00237,1,,
C0315,Concept,Press Nullification,Press Nullification,,,6,RECORD-00239,2,,
C0316,Concept,Gatekeeper Model,Gatekeeper Model,,,7,RECORD-00240,1,,
C0317,Concept,Distributed reporting,Distributed reporting,,,6,RECORD-00241,2,,
C0318,Concept,Open Source,Open Source,,,6,RECORD-00241,1,,
C0319,Concept,Pro-am investigations,Pro-am investigations,,,6,RECORD-00241,1,,
C0320,Concept,Syndication service,Syndication service,,,4,RECORD-00241,1,,
C0321,Concept,Public and Participatory Journalism,Public and Participatory Journalism,,,3,RECORD-00244,1,,
C0322,Concept,Poll-driven horse race coverage,Poll-driven horse race coverage,,,7,RECORD-00245,1,,
C0323,Concept,Top-down control of the message,Top-down control of the message,,,6,RECORD-00246,1,,
C0324,Concept,Nation-building,Nation-building,,,5,RECORD-00248,1,,
C0325,Concept,Open-source journalism,Open-source journalism,,,7,RECORD-00249,1,,
C0326,Concept,Grand Old Professional Code,Grand Old Professional Code,,,6,RECORD-00249,1,,
C0327,Concept,Executive Power,Executive Power,,,9,RECORD-00261,1,,
C0328,Concept,Signing Statements,Signing Statements,,,7,RECORD-00261,1,,
C0329,Concept,The Contraption,The Contraption,,,9,RECORD-00262,2,,
C0330,Concept,Two-way connection,Two-way connection,,,7,RECORD-00262,1,,
C0332,Concept,Adopt-a-Journalist,Adopt-a-Journalist,,,10,RECORD-00264,1,,
C0333,Concept,Body Watch,Body Watch,,,9,RECORD-00265,1,,
C0334,Concept,Content,Content,,,8,RECORD-00266,1,,
C0335,Concept,Container,Container,,,7,RECORD-00266,1,,
C0336,Concept,RSS,RSS,,,7,RECORD-00266,1,,
C0337,Concept,Soundbiting,Soundbiting,,,4,RECORD-00267,1,,
C0338,Concept,Elite Newspaper Divergence (END),Elite Newspaper Divergence (END),,,7,RECORD-00269,1,,
C0339,Concept,Ideology of the press,Ideology of the press,,,8,RECORD-00270,1,,
C0340,Concept,Gang of 500,Gang of 500,,,6,RECORD-00270,1,,
C0341,Concept,High Broderism,High Broderism,,,7,RECORD-00270,1,,
C0342,Concept,Huckenfreude,Huckenfreude,,,7,RECORD-00271,1,,
C0343,Concept,Open Archive,Open Archive,,,9,RECORD-00272,1,,
C0344,Concept,Neutral Observer,Neutral Observer,,,6,RECORD-00274,1,,
C0345,Concept,Argument Journalism,Argument Journalism,,,5,RECORD-00274,1,,
C0346,Concept,Distributed Knowledge,Distributed Knowledge,,,5,RECORD-00274,1,,
C0347,Concept,Reality-based Community,Reality-based Community,,,5,RECORD-00274,1,,
C0348,Concept,The Net,The Net,,,7,RECORD-00274,1,,
C0349,Concept,Answer Journalism,Answer Journalism,,,7,RECORD-00276,1,,
C0350,Concept,Distributed fact checking,Distributed fact checking,,,5,RECORD-00277,1,,
C0351,Concept,Transmission View of Communication,Transmission View of Communication,,,6,RECORD-00278,1,,
C0352,Concept,Ritual View of Communication,Ritual View of Communication,,,7,RECORD-00278,1,,
