id,title,url,author,publication_date,original_publication,publisher,platform,collection_id,content_type,format,word_count,length_in_seconds,excerpt,summary,thematic_categories,key_concepts,series,era,scope,tags,related_to,responds_to,influence,copyright,license,permissions,date_processed,gdrive_pdf_link,gdrive_raw_file_link,gdrive_transcript_link,transcript_filepath,pull_quote,raw_text,verified,notes
RECORD-00673,Nation Blogging Credibility,,Jay Rosen,2005-03-17,The Nation,The Nation,The Nation,PUBLIC,Article,text,3527,,"""Blogging, Journalism, and Credibility: Battleground and Common Ground,"" a conference held in late January at Harvard, featured a group of fifty journalists, bloggers, news executives, media scholars and librarians trying to make sense of the new media environment. The relationship between bloggers ",,"Digital Media & Innovation, Press & Media Criticism",,,Web & Blogging (2000s),Commentary/Critique,,,,,Jay Rosen,,,2026-02-10 16:44:33,,,,,,,false,Recovered via Wayback Machine/Firecrawl gap analysis (Feb 2026). Source file: nation-blogging-credibility.md
RECORD-00674,Don't Be a Blogger Manque,http://www.huffingtonpost.com/jay-rosen/dont-be-a-blogger-manqua_b_3310.html,Jay Rosen,2005-04-29,HuffPost,HuffPost,HuffPost,PUBLIC,Article,text,1863,,Once upon a time in journalism Norman Mailer was one of the people pushing the boundaries of the form.   The way a Josh Marshall is pushing it today.   Or a Glenn Reynolds.  Or a Barista of Bloomfield Avenue (Debbie Galant).,,"Digital Media & Innovation, Press & Media Criticism",,,Web & Blogging (2000s),Commentary/Critique,,,,,Jay Rosen,,,2026-02-10 16:44:33,,,,,,,false,Recovered via Wayback Machine/Firecrawl gap analysis (Feb 2026). Source file: hp-dont-be-a-blogger-manqua.md
RECORD-00675,From Deference to Outrage: The Road to Katrina,http://www.huffingtonpost.com/jay-rosen/from-deference-to-outrage_b_7064.html,Jay Rosen,2005-05-09,HuffPost,HuffPost,HuffPost,PUBLIC,Article,text,3633,,"I was on a break from blogging when Hurricane Katrina hit and New Orleans went down, but people kept sending me stuff. The article most often sent to me was a commentary by Matt Wells of the BBC, ""Has Katrina saved US media?"" Possibly it has, he said: ""Amidst the horror, American broadcast journalis",,"Digital Media & Innovation, Press & Media Criticism",,,Web & Blogging (2000s),Commentary/Critique,,,,,Jay Rosen,,,2026-02-10 16:44:33,,,,,,,false,Recovered via Wayback Machine/Firecrawl gap analysis (Feb 2026). Source file: hp-from-deference-to-outrage.md
RECORD-00676,Charging for Columnists: Was TimesSelect Worth It?,http://www.huffingtonpost.com/jay-rosen/charging-for-columnists-_b_7753.html,Jay Rosen,2005-09-01,HuffPost,HuffPost,HuffPost,PUBLIC,Article,text,2474,,"""We have been tested many times in our 154-year history as we are being tested now.""  That's Times Publisher Arthur Sulzberger, Jr.  and CEO Janet Robinson in Tuesday's note to staff about a new round of layoffs at New York Times Company (500 jobs company-wide.)  The launch of TimesSelect is a big p",,Press & Media Criticism,,,Web & Blogging (2000s),Commentary/Critique,,,,,Jay Rosen,,,2026-02-10 16:44:33,,,,,,,false,Recovered via Wayback Machine/Firecrawl gap analysis (Feb 2026). Source file: hp-charging-for-columnists-.md
RECORD-00677,Grokking Woodward,http://www.huffingtonpost.com/jay-rosen/grokking-woodward_b_11982.html,Jay Rosen,2005-12-01,HuffPost,HuffPost,HuffPost,PUBLIC,Article,text,2472,,Watergate wasn't broken by reporters who had entree to the inner corridors of power. It was two guys on the Metro Desk...,,Press & Media Criticism,,,Web & Blogging (2000s),Commentary/Critique,,,,,Jay Rosen,,,2026-02-10 16:44:33,,,,,,,false,Recovered via Wayback Machine/Firecrawl gap analysis (Feb 2026). Source file: hp-grokking-woodward.md
RECORD-00678,John Harris and Jim Brady: Politico.com,http://www.huffingtonpost.com/jay-rosen/john-harris-and-jim-brady_b_12249.html,Jay Rosen,2005-12-01,HuffPost,HuffPost,HuffPost,PUBLIC,Article,text,4251,,"Yesterday I interviewed two key players in a dispute at the Washington Post over Dan Froomkin's Web column, White House Briefing. National politics editor John Harris, and washingtonpost.com's executive editor Jim Brady explain what's going on. Then Froomkin talks back. Huffington Post writers Marty",,"Digital Media & Innovation, Politics & Democracy, Press & Media Criticism",,,Web & Blogging (2000s),Commentary/Critique,,,,,Jay Rosen,,,2026-02-10 16:44:33,,,,,,,false,Recovered via Wayback Machine/Firecrawl gap analysis (Feb 2026). Source file: hp-john-harris-and-jim-brady.md
RECORD-00679,I'm Not Going to Talk About the War,http://www.huffingtonpost.com/jay-rosen/im-not-going-to-talk-ab_b_12955.html,Jay Rosen,2005-12-31,HuffPost,HuffPost,HuffPost,PUBLIC,Article,text,3154,,"Bill Keller is a ""watch our pages"" man. That is how he would prefer to answer your question about the Times, whether you are a reader in Chelsea, a reporter for Salon, or Charlie Rose. With Keller the stoic conceit continues, but under conditions of greater transparency it makes a lot less sense...",,Press & Media Criticism,,,Web & Blogging (2000s),Commentary/Critique,,,,,Jay Rosen,,,2026-02-10 16:44:33,,,,,,,false,Recovered via Wayback Machine/Firecrawl gap analysis (Feb 2026). Source file: hp-im-not-going-to-talk-ab.md
RECORD-00680,A Collection of Journalism Awards No Newsroom Would Want,http://www.huffingtonpost.com/jay-rosen/a-collection-of-journali_b_35866.html,Jay Rosen,2006-01-01,HuffPost,HuffPost,HuffPost,PUBLIC,Article,text,3844,,"On November 20, people who follow Washington journalism were jolted by word that John Harris, political editor, and Jim VandeHei, star correspondent, were quitting the Washington Post to start a new ""multi-platform"" political news operation bankrolled by Allbritton Communications. Explaining this in",,"Digital Media & Innovation, Politics & Democracy, Press & Media Criticism",,,Web & Blogging (2000s),Commentary/Critique,,,,,Jay Rosen,,,2026-02-10 16:44:33,,,,,,,false,Recovered via Wayback Machine/Firecrawl gap analysis (Feb 2026). Source file: hp-a-collection-of-journali.md
RECORD-00681,The Retreat from Empiricism,,Jay Rosen,2006-01-01,HuffPost,HuffPost,HuffPost,PUBLIC,Article,text,5365,,"At a time when many newsrooms are shrinking, your support is more important than ever. Membership ensures we can keep covering the issues that shape our lives and communities.",,Press & Media Criticism,,,Web & Blogging (2000s),Commentary/Critique,,,,,Jay Rosen,,,2026-02-10 16:44:33,,,,,,,false,Recovered via Wayback Machine/Firecrawl gap analysis (Feb 2026). Source file: hp-retreat-empiricism.md
RECORD-00682,It Was Not a Mistake When NBC Met Katrina,http://www.huffingtonpost.com/jay-rosen/it-was-not-a-mistake-when_b_15910.html,Jay Rosen,2006-02-01,HuffPost,HuffPost,HuffPost,PUBLIC,Article,text,1880,,"Among the angry, amused and jaded reactions to Dick Cheney's methods for informing the nation about his hunting accident, the views of Marlin Fitzwater were of special interest to me. Fitzwater--former press secretary to both Ronald Reagan and George H.W. Bush, a loyal Republican--knows how things u",,"Journalism Theory & Practice, Politics & Democracy, Press & Media Criticism",,,Web & Blogging (2000s),Commentary/Critique,,,,,Jay Rosen,,,2026-02-10 16:44:33,,,,,,,false,Recovered via Wayback Machine/Firecrawl gap analysis (Feb 2026). Source file: hp-it-was-not-a-mistake-when.md
RECORD-00683,The People Formerly Known as the Audience,,Jay Rosen,2006-06-01,HuffPost,HuffPost,HuffPost,PUBLIC,Article,text,1799,,"At a time when many newsrooms are shrinking, your support is more important than ever. Membership ensures we can keep covering the issues that shape our lives and communities.",,"Digital Media & Innovation, Press & Media Criticism",,,Web & Blogging (2000s),Commentary/Critique,,,,,Jay Rosen,,,2026-02-10 16:44:33,,,,,,,false,Recovered via Wayback Machine/Firecrawl gap analysis (Feb 2026). Source file: hp-people-formerly-known.md
RECORD-00684,Journalism Professors Pass a Resolution,http://www.huffingtonpost.com/jay-rosen/journalism-professors-pas_b_26577.html,Jay Rosen,2006-08-01,HuffPost,HuffPost,HuffPost,PUBLIC,Article,text,2927,,The following resolution was passed Friday by the Association for Education in Journalism and Mass Communication (AEJMC) which is the leading professional body for academics in journalism and media studies.  (I am a member.)  It was brought to the floor of the annual convention by David Mindich of S,,Press & Media Criticism,,,Web & Blogging (2000s),Commentary/Critique,,,,,Jay Rosen,,,2026-02-10 16:44:33,,,,,,,false,Recovered via Wayback Machine/Firecrawl gap analysis (Feb 2026). Source file: hp-journalism-professors-pas.md
RECORD-00685,Karl Rove and the Cult of the Insider,,Jay Rosen,2007-01-01,HuffPost,HuffPost,HuffPost,PUBLIC,Article,text,3099,,"At a time when many newsrooms are shrinking, your support is more important than ever. Membership ensures we can keep covering the issues that shape our lives and communities.",,"Politics & Democracy, Press & Media Criticism",,,Web & Blogging (2000s),Commentary/Critique,,,,,Jay Rosen,,,2026-02-10 16:44:33,,,,,,,false,Recovered via Wayback Machine/Firecrawl gap analysis (Feb 2026). Source file: hp-karl-rove-cult.md
RECORD-00686,Howard Kurtz: The Humble Interview Under Assault,http://www.huffingtonpost.com/jay-rosen/howard-kurtz-the-humble_b_49399.html,Jay Rosen,2007-05-28,HuffPost,HuffPost,HuffPost,PUBLIC,Article,text,1013,,"Howard Kurtz's May 21st column in the Washington Post was entitled Interviews, Going the Way of the Linotype?  ""It is a transaction that clearly favors the person asking the questions,"" he says.  (Which is true.)  His column is mostly based on an e-mail interview he did with me about that transactio",,Press & Media Criticism,,,Web & Blogging (2000s),Commentary/Critique,,,,,Jay Rosen,,,2026-02-10 16:44:33,,,,,,,false,Recovered via Wayback Machine/Firecrawl gap analysis (Feb 2026). Source file: hp-howard-kurtz-the-humble.md
RECORD-00687,Guidelines for OffTheBus Bloggers,http://www.huffingtonpost.com/jay-rosen/guidelines-for-offthebus-_b_56441.html,Jay Rosen,2007-07-16,HuffPost,HuffPost,HuffPost,PUBLIC,Article,text,1340,,Today we open the blogging platform at OffTheBus.  Here are some basic guidelines for those who decide to blog with us.  Expect them to be revised as we go.,,Digital Media & Innovation,,,Web & Blogging (2000s),Commentary/Critique,,,,,Jay Rosen,,,2026-02-10 16:44:33,,,,,,,false,Recovered via Wayback Machine/Firecrawl gap analysis (Feb 2026). Source file: hp-guidelines-for-offthebus-.md
RECORD-00688,Inquire. Discover. Inform Others.,http://www.huffingtonpost.com/jay-rosen/inquire-discover-info_b_56651.html,Jay Rosen,2007-07-17,HuffPost,HuffPost,HuffPost,PUBLIC,Article,text,2019,,Blogging has been called the art of posting.  As we launch OffTheBus we are at the same time starting to define that art-- for this site.,,Digital Media & Innovation,,,Web & Blogging (2000s),Commentary/Critique,,,,,Jay Rosen,,,2026-02-10 16:44:33,,,,,,,false,Recovered via Wayback Machine/Firecrawl gap analysis (Feb 2026). Source file: hp-inquire-discover-info.md
RECORD-00689,All the Questions Citizens Got to Ask in the YouTube Debate,http://www.huffingtonpost.com/jay-rosen/all-the-questions-citizen_b_57676.html,Jay Rosen,2007-07-24,HuffPost,HuffPost,HuffPost,PUBLIC,Article,text,3406,,"These are all the questions (text and video) asked by YouTube users who made videos for the Democratic presidential candidates' debate in Charleston, SC, July 23, 2007.  From the CNN transcript.",,Press & Media Criticism,,,Web & Blogging (2000s),Commentary/Critique,,,,,Jay Rosen,,,2026-02-10 16:44:33,,,,,,,false,Recovered via Wayback Machine/Firecrawl gap analysis (Feb 2026). Source file: hp-all-the-questions-citizen.md
RECORD-00690,Court of the Web Rules Against Times-Select,http://www.huffingtonpost.com/jay-rosen/court-of-the-web-rules-ag_b_65040.html,Jay Rosen,2007-09-19,HuffPost,HuffPost,HuffPost,PUBLIC,Article,text,1221,,I recommend the obituary for Times-Select that Jeff Jarvis published.  The thing died at midnight last night.,,Digital Media & Innovation,,,Web & Blogging (2000s),Commentary/Critique,,,,,Jay Rosen,,,2026-02-10 16:44:33,,,,,,,false,Recovered via Wayback Machine/Firecrawl gap analysis (Feb 2026). Source file: hp-court-of-the-web-rules-ag.md
RECORD-00691,Filter the Best Stuff to the Front Page,http://www.huffingtonpost.com/jay-rosen/filter-the-best-stuff-to_b_107397.html,Jay Rosen,2008-01-01,HuffPost,HuffPost,HuffPost,PUBLIC,Article,text,2381,,"OffTheBus and NewsTrust.Net ran a little test two weeks ago.   It's a crowdsourced week in review feature for high quality John McCain coverage, June 2 to 9.  Here's the background and the results.",,Politics & Democracy,,,Web & Blogging (2000s),Commentary/Critique,,,,,Jay Rosen,,,2026-02-10 16:44:33,,,,,,,false,Recovered via Wayback Machine/Firecrawl gap analysis (Feb 2026). Source file: hp-filter-the-best-stuff-to.md
RECORD-00692,Hype Busters at Mother Jones,,Jay Rosen,2008-01-01,HuffPost,HuffPost,HuffPost,PUBLIC,Article,text,3465,,"At a time when many newsrooms are shrinking, your support is more important than ever. Membership ensures we can keep covering the issues that shape our lives and communities.",,Press & Media Criticism,,,Web & Blogging (2000s),Commentary/Critique,,,,,Jay Rosen,,,2026-02-10 16:44:33,,,,,,,false,Recovered via Wayback Machine/Firecrawl gap analysis (Feb 2026). Source file: hp-hype-busters.md
RECORD-00693,Love Affair: McCain and the Press,,Jay Rosen,2008-01-01,HuffPost,HuffPost,HuffPost,PUBLIC,Article,text,2950,,"At a time when many newsrooms are shrinking, your support is more important than ever. Membership ensures we can keep covering the issues that shape our lives and communities.",,"Politics & Democracy, Press & Media Criticism",,,Web & Blogging (2000s),Commentary/Critique,,,,,Jay Rosen,,,2026-02-10 16:44:33,,,,,,,false,Recovered via Wayback Machine/Firecrawl gap analysis (Feb 2026). Source file: hp-love-affair-mccain.md
RECORD-00694,For the New York Times: An Assignment,,Jay Rosen,2008-01-01,HuffPost,HuffPost,HuffPost,PUBLIC,Article,text,2771,,"At a time when many newsrooms are shrinking, your support is more important than ever. Membership ensures we can keep covering the issues that shape our lives and communities.",,Press & Media Criticism,,,Web & Blogging (2000s),Commentary/Critique,,,,,Jay Rosen,,,2026-02-10 16:44:33,,,,,,,false,Recovered via Wayback Machine/Firecrawl gap analysis (Feb 2026). Source file: hp-nyt-assignment.md
RECORD-00695,Obama Tells the Best Political Story,,Jay Rosen,2008-01-01,HuffPost,HuffPost,HuffPost,PUBLIC,Article,text,2635,,"At a time when many newsrooms are shrinking, your support is more important than ever. Membership ensures we can keep covering the issues that shape our lives and communities.",,"Politics & Democracy, Press & Media Criticism",,,Web & Blogging (2000s),Commentary/Critique,,,,,Jay Rosen,,,2026-02-10 16:44:33,,,,,,,false,Recovered via Wayback Machine/Firecrawl gap analysis (Feb 2026). Source file: hp-obama-political-story.md
RECORD-00696,The Uncharted: From Off The Bus to Meet the Press,,Jay Rosen,2008-01-01,HuffPost,HuffPost,HuffPost,PUBLIC,Article,text,4425,,"At a time when many newsrooms are shrinking, your support is more important than ever. Membership ensures we can keep covering the issues that shape our lives and communities.",,Press & Media Criticism,,,Web & Blogging (2000s),Commentary/Critique,,,,,Jay Rosen,,,2026-02-10 16:44:33,,,,,,,false,Recovered via Wayback Machine/Firecrawl gap analysis (Feb 2026). Source file: hp-uncharted-offthebus.md
RECORD-00697,Bill Keller: I'm Proud to Stand by This Story,http://www.huffingtonpost.com/jay-rosen/bill-keller-im-proud-to-s_b_88437.html,Jay Rosen,2008-08-21,HuffPost,HuffPost,HuffPost,PUBLIC,Article,text,1929,,"This weekend Clark Hoyt, public editor of the New York Times, told the Times what Ben Bradlee tells Woodward and Bernstein in one memorable scene from All the President's Men.  ""You haven't got it,"" the boss says about a draft of their story.  The reporters try to argue back, but Bradlee cuts them o",,"Journalism Theory & Practice, Press & Media Criticism",,,Web & Blogging (2000s),Commentary/Critique,,,,,Jay Rosen,,,2026-02-10 16:44:33,,,,,,,false,Recovered via Wayback Machine/Firecrawl gap analysis (Feb 2026). Source file: hp-bill-keller-im-proud-to-s.md
RECORD-00698,A World Made More Opaque: Scott McClellan,http://www.huffingtonpost.com/jay-rosen/a-world-made-more-opaque-_b_73896.html,Jay Rosen,2008-09-07,HuffPost,HuffPost,HuffPost,PUBLIC,Article,text,1014,,"Scott McClellan deserves to be remembered, not as the greatest but as one of the most effective stooge figures in the Bush Administration.  (The greatest: Alberto Gonzalez.)  This week's news from his publisher--that the stooge says he had unknowingly passed along false information provided to him b",,Politics & Democracy,,,Web & Blogging (2000s),Commentary/Critique,,,,,Jay Rosen,,,2026-02-10 16:44:33,,,,,,,false,Recovered via Wayback Machine/Firecrawl gap analysis (Feb 2026). Source file: hp-a-world-made-more-opaque-.md
RECORD-00699,Audience Atomization Overcome,,Jay Rosen,2009-01-01,HuffPost,HuffPost,HuffPost,PUBLIC,Article,text,2657,,"At a time when many newsrooms are shrinking, your support is more important than ever. Membership ensures we can keep covering the issues that shape our lives and communities.",,"Digital Media & Innovation, Press & Media Criticism",,,Web & Blogging (2000s),Commentary/Critique,,,,,Jay Rosen,,,2026-02-10 16:44:33,,,,,,,false,Recovered via Wayback Machine/Firecrawl gap analysis (Feb 2026). Source file: hp-audience-atomization.md
RECORD-00700,"""He Said, She Said"" Journalism: Are We Done With That Yet?",,Jay Rosen,2009-04-01,HuffPost,HuffPost,HuffPost,PUBLIC,Article,text,3764,,"At a time when many newsrooms are shrinking, your support is more important than ever. Membership ensures we can keep covering the issues that shape our lives and communities.",,Press & Media Criticism,,,Web & Blogging (2000s),Commentary/Critique,,,,,Jay Rosen,,,2026-02-10 16:44:33,,,,,,,false,Recovered via Wayback Machine/Firecrawl gap analysis (Feb 2026). Source file: hp-he-said-she-said.md
RECORD-00701,The Politics of the New Huffington Post at AOL,,Jay Rosen,2011-01-01,HuffPost,HuffPost,HuffPost,PUBLIC,Article,text,2037,,"At a time when many newsrooms are shrinking, your support is more important than ever. Membership ensures we can keep covering the issues that shape our lives and communities.",,"Politics & Democracy, Press & Media Criticism",,,View From Nowhere (2010s),Commentary/Critique,,,,,Jay Rosen,,,2026-02-10 16:44:33,,,,,,,false,Recovered via Wayback Machine/Firecrawl gap analysis (Feb 2026). Source file: hp-politics-new-huffpost.md
