relationship_id,source_record_id,source_entity_id,source_entity_name,relationship_type,target_entity_id,target_entity_name,context_snippet,confidence_score,extracted_date
RECORD-00002_REL_026,RECORD-00002,O0002,The New York Times,Mentions,O0011,About.com,explains why NYT spent $410 million to buy site,1.0,2025-10-22
RECORD-00002_REL_027,RECORD-00002,O0002,The New York Times,Discusses,O0012,Dow Jones,The New York Times is a news company...More than one person in this room saw the About.com and the Dow Jones/Marketplace deals as very important for the future of old media,1.0,2025-10-22
RECORD-00002_REL_028,RECORD-00002,O0002,The New York Times,Discusses,O0013,Marketplace,The New York Times is a news company...More than one person in this room saw the About.com and the Dow Jones/Marketplace deals as very important for the future of old media,1.0,2025-10-22
RECORD-00002_REL_029,RECORD-00002,P0001,Eric Nelson,Expands On,C0003,Age of Insight,"One idea I’m always pitching to Jay, and anyone else who will listen, is that we’ve moved from the “Information Age” to the “Age of Insight.",0.9,2025-10-22
RECORD-00002_REL_031,RECORD-00002,P0001,Eric Nelson,Mentions,P0014,George W. Bush,When Bush announced his budget,1.0,2025-10-22
RECORD-00003_REL_001,RECORD-00003,O0014,Fox News,Occurred At,L0001,New York City,Fox News Headquarters in New York City,1.0,2025-10-22
RECORD-00003_REL_002,RECORD-00003,E0001,Republican National Convention,Occurred At,L0001,New York City,As we get closer to the convention countdown in New York.,0.9,2025-10-22
RECORD-00003_REL_003,RECORD-00003,O0014,Fox News,Mentions,E0001,Republican National Convention,Security concerns have led Rockefeller Center to position fixtures outside Fox News headquarters ahead of the GOP convention.,0.8,2025-10-22
RECORD-00003_REL_004,RECORD-00003,O0015,CNN,Affiliated With,P0015,David Bohrman,"David Bohrman, the executive producer of CNN’s convention coverage.",1.0,2025-10-22
RECORD-00003_REL_005,RECORD-00003,P0015,David Bohrman,Discusses,E0001,Republican National Convention,"David Bohrman, in charge of CNN’s convention coverage.",0.9,2025-10-22
RECORD-00003_REL_006,RECORD-00003,E0001,Republican National Convention,Discusses,O0014,Fox News,Security concerns have led Rockefeller Center to position fixtures outside Fox News headquarters ahead of the GOP convention.,0.9,2025-10-22
RECORD-00003_REL_007,RECORD-00003,E0001,Republican National Convention,Mentions,E0002,1968 Democratic National Convention,"By everyone’s hope, it won’t be Chicago 1968.",0.7,2025-10-22
RECORD-00003_REL_008,RECORD-00003,O0015,CNN,Mentions,O0017,TV Newser,(via TV Newser.),0.7,2025-10-22
RECORD-00003_REL_009,RECORD-00003,P0016,Joe Hagan,Affiliated With,O0018,The New York Observer,The New York Observer’s Joe Hagan reports this week,1.0,2025-10-22
RECORD-00003_REL_010,RECORD-00003,P0018,Sarah Courtney,Affiliated With,O0014,Fox News,Sarah Courtney of the Fox News politics desk,1.0,2025-10-22
RECORD-00003_REL_011,RECORD-00003,P0019,Rich Lowry,Affiliated With,O0020,National Review,Assistant to National Review editor Rich Lowry,1.0,2025-10-22
RECORD-00003_REL_012,RECORD-00003,P0020,Steve Gray,Affiliated With,O0021,New York Post,"Steve Gray, who works at the city desk for the New York Post",1.0,2025-10-22
RECORD-00003_REL_013,RECORD-00003,P0021,Robert Kaiser,Affiliated With,O0023,The Washington Post,Washington Post’s Robert Kaiser (associate editor),1.0,2025-10-22
RECORD-00003_REL_014,RECORD-00003,P0022,Princell Hair,Affiliated With,O0015,CNN,"Princell Hair, executive vice president of CNN",1.0,2025-10-22
RECORD-00003_REL_015,RECORD-00003,P0023,Greg Mitchell,Affiliated With,O0025,Editor & Publisher,"Greg Mitchell, Editor & Publisher",1.0,2025-10-22
RECORD-00003_REL_016,RECORD-00003,O0014,Fox News,Mentions,L0001,New York City,the area around Fox News Headquarters in New York City,1.0,2025-10-22
RECORD-00003_REL_017,RECORD-00003,P0014,George W. Bush,Mentions,E0001,Republican National Convention,cut into a prime-time Republican speech—especially President Bush’s,1.0,2025-10-22
RECORD-00004_REL_001,RECORD-00004,P0024,Bob Franken,Affiliated With,O0015,CNN,Bob Franken is a correspondent for CNN.,1.0,2025-10-22
RECORD-00004_REL_002,RECORD-00004,P0025,Stephen Spruiell,Affiliated With,O0026,National Review Online,Stephen Spruiell is a reporter/blogger for National Review Online.,1.0,2025-10-22
RECORD-00004_REL_003,RECORD-00004,P0026,Alan Feuer,Affiliated With,O0002,The New York Times,Alan Feuer is a reporter for The New York Times.,1.0,2025-10-22
RECORD-00004_REL_004,RECORD-00004,P0027,Catherine Mathis,Affiliated With,O0002,The New York Times,Catherine Mathis is a spokeswoman for The New York Times.,1.0,2025-10-22
RECORD-00004_REL_005,RECORD-00004,W0001,Over There: From the Bronx to Baghdad,Published In,O0002,The New York Times,Alan Feuer's transfer out of the Bronx bureau and assignment to Iraq is discussed,0.7,2025-10-22
RECORD-00004_REL_006,RECORD-00004,O0002,The New York Times,Mentions,P0024,Bob Franken,Franken expresses concern that The New York Times would disapprove of Feuer's statements.,0.9,2025-10-22
RECORD-00004_REL_007,RECORD-00004,P0005,Jay Rosen,Discusses,C0005,Newsroom Religion,Jay Rosen discusses the concept of 'newsroom religion'.,0.9,2025-10-22
RECORD-00004_REL_008,RECORD-00004,P0025,Stephen Spruiell,Mentions,P0005,Jay Rosen,Spruiell references Jay Rosen's PressThink post on Watergate.,0.8,2025-10-22
RECORD-00004_REL_009,RECORD-00004,P0005,Jay Rosen,Affiliated With,W0002,PressThink,Jay Rosen writes for PressThink.,1.0,2025-10-22
RECORD-00004_REL_010,RECORD-00004,P0025,Stephen Spruiell,Mentions,E0003,Watergate,Spruiell references Rosen's post about Watergate and journalism education.,0.8,2025-10-22
RECORD-00004_REL_011,RECORD-00004,P0029,Tim Graham,Affiliated With,O0026,National Review Online,Tim Graham is a contributor to National Review Online.,1.0,2025-10-22
RECORD-00004_REL_012,RECORD-00004,P0024,Bob Franken,Discusses,E0004,Iraq War,Bob Franken was embedded with the American military during the initial invasion of Iraq.,0.8,2025-10-22
RECORD-00004_REL_013,RECORD-00004,P0024,Bob Franken,Criticizes,O0014,Fox News,Bob Franken criticizes Fox News anchors wearing American flag lapel pins.,0.9,2025-10-22
RECORD-00004_REL_014,RECORD-00004,P0005,Jay Rosen,Mentions,P0028,Danny Pearl,Jay Rosen mentions Danny Pearl in the context of citizen-of-the-world identity.,0.8,2025-10-22
RECORD-00005_REL_001,RECORD-00005,P0030,Bill Keller,Affiliated With,O0002,The New York Times,Bill Keller is the executive editor of the New York Times,1.0,2025-10-22
RECORD-00005_REL_002,RECORD-00005,O0002,The New York Times,Published In,W0003,Bush Secretly Lifted Some Limits on Spying in U.S.,The Times published an important story that hit official Washington hard: Bush Secretly Lifted Some Limits on Spying in U.S.,1.0,2025-10-22
RECORD-00005_REL_003,RECORD-00005,O0002,The New York Times,Discusses,C0006,Transparency,You can find the latest on the transparency gap at the New York Times,0.8,2025-10-22
RECORD-00005_REL_004,RECORD-00005,P0030,Bill Keller,Discusses,O0002,The New York Times,Bill Keller is a “watch our pages” man. That is how he would prefer to answer your question about the Times,0.9,2025-10-22
RECORD-00005_REL_005,RECORD-00005,P0030,Bill Keller,Criticizes,O0002,The New York Times,Bill Keller stonewalled me.,0.7,2025-10-22
RECORD-00005_REL_006,RECORD-00005,O0002,The New York Times,Mentions,P0014,George W. Bush,President Bush decreed it,0.9,2025-10-22
RECORD-00005_REL_007,RECORD-00005,W0003,Bush Secretly Lifted Some Limits on Spying in U.S.,Mentions,O0027,National Security Agency,It said that the National Security Agency has since 2002 had the authority to eavesdrop on Americans,0.9,2025-10-22
RECORD-00005_REL_008,RECORD-00005,P0033,James Risen,Affiliated With,O0002,The New York Times,"James Risen, the lead reporter on the wiretapping story.",1.0,2025-10-22
RECORD-00005_REL_009,RECORD-00005,W0005,State of War: The Secret History of the CIA and the Bush Administration,Mentions,P0033,James Risen,"State of War: The Secret History of the CIA and the Bush Administration,” by James Risen",1.0,2025-10-22
RECORD-00005_REL_010,RECORD-00005,P0032,Paul Farhi,Affiliated With,O0023,The Washington Post,Paul Farhi of the Washington Post reported,1.0,2025-10-22
RECORD-00005_REL_011,RECORD-00005,P0034,James Rainey,Affiliated With,O0028,Los Angeles Times,James Rainey of the Los Angeles Times reported,1.0,2025-10-22
RECORD-00005_REL_012,RECORD-00005,P0038,Phil Taubman,Affiliated With,O0002,The New York Times,Washington bureau chief Phil Taubman was there too.,1.0,2025-10-22
RECORD-00005_REL_013,RECORD-00005,P0041,Al Siegal,Affiliated With,O0002,The New York Times,deputy managing editor Al Siegal led a committee of Times people,1.0,2025-10-22
RECORD-00005_REL_014,RECORD-00005,P0043,Kurt Eichenwald,Affiliated With,O0002,The New York Times,Kurt Eichenwald wrote a ,0.9,2025-10-22
RECORD-00005_REL_015,RECORD-00005,P0045,David Folkenflik,Affiliated With,O0031,NPR,See David Folkenflik’s report for NPR,1.0,2025-10-22
RECORD-00005_REL_016,RECORD-00005,P0046,Alex Jones,Affiliated With,O0002,The New York Times,"Alex Jones, a former reporter for the Times",0.9,2025-10-22
RECORD-00005_REL_017,RECORD-00005,W0008,Does the New York Times Have a Learning Disability?,Mentions,O0002,The New York Times,PressThink ran Ron Brynaert’s guest post: Does the New York Times Have a Learning Disability?,1.0,2025-10-22
RECORD-00005_REL_018,RECORD-00005,W0008,Does the New York Times Have a Learning Disability?,Originated By,P0048,Ron Brynaert,PressThink ran Ron Brynaert’s guest post: Does the New York Times Have a Learning Disability?,1.0,2025-10-22
RECORD-00005_REL_019,RECORD-00005,P0030,Bill Keller,Mentions,P0049,Charlie Rose,"whether you are a reader in Chelsea, a reporter for Salon, or Charlie Rose",0.7,2025-10-22
RECORD-00006_REL_001,RECORD-00006,P0001,Eric Nelson,Affiliated With,O0001,John Wiley and Sons,Eric Nelson is a Senior Editor at John Wiley and Sons.,1.0,2025-10-22
RECORD-00006_REL_002,RECORD-00006,P0001,Eric Nelson,Mentions,P0002,Digby,"“Digby, if you’re reading this, send me an email.”",1.0,2025-10-22
RECORD-00006_REL_003,RECORD-00006,P0001,Eric Nelson,Discusses,C0001,Handsell Book,"In the publishing industry, we often talk about the mythic “handsell” book.",1.0,2025-10-22
RECORD-00006_REL_004,RECORD-00006,P0001,Eric Nelson,Mentions,P0050,Jose Canseco,Think Jose Canseco...,1.0,2025-10-22
RECORD-00006_REL_005,RECORD-00006,P0001,Eric Nelson,Mentions,P0051,Jon Stewart,...Jon Stewart...,1.0,2025-10-22
RECORD-00006_REL_006,RECORD-00006,P0001,Eric Nelson,Mentions,P0052,Malcom Gladwell,...and Malcom Gladwell.,1.0,2025-10-22
RECORD-00006_REL_007,RECORD-00006,P0001,Eric Nelson,Mentions,O0002,The New York Times,"If you didn’t get The New York Times that day, you were out of luck.",1.0,2025-10-22
RECORD-00006_REL_008,RECORD-00006,P0001,Eric Nelson,Mentions,O0003,PBS,"If the buzz builds quickly, he might get to recap it that night in an interview on PBS",1.0,2025-10-22
RECORD-00006_REL_009,RECORD-00006,P0001,Eric Nelson,Mentions,O0004,Denver Post,"If that amazing column ran in the Denver Post, you’re not even likely to hear about it second or third hand from a friend.",1.0,2025-10-22
RECORD-00006_REL_010,RECORD-00006,P0001,Eric Nelson,Mentions,P0003,Paul Krugman,"But before the internet, that simply couldn’t happen with a Paul Krugman column.",1.0,2025-10-22
RECORD-00006_REL_011,RECORD-00006,P0001,Eric Nelson,Mentions,O0005,Daypop,With blog-tracking tools like Daypop...,1.0,2025-10-22
RECORD-00006_REL_012,RECORD-00006,P0001,Eric Nelson,Mentions,O0006,Blogdex,...Blogdex...,1.0,2025-10-22
RECORD-00006_REL_013,RECORD-00006,P0001,Eric Nelson,Mentions,O0007,Technorati,...Technorati...,1.0,2025-10-22
RECORD-00006_REL_015,RECORD-00006,P0001,Eric Nelson,Mentions,P0004,Kevin Drum,I started reading Kevin Drum...,1.0,2025-10-22
RECORD-00006_REL_017,RECORD-00006,P0001,Eric Nelson,Mentions,P0005,Jay Rosen,...Jay Rosen...,1.0,2025-10-22
RECORD-00006_REL_018,RECORD-00006,P0001,Eric Nelson,Mentions,P0006,Daniel Radosh,...Daniel Radosh...,1.0,2025-10-22
RECORD-00006_REL_019,RECORD-00006,P0001,Eric Nelson,Mentions,P0007,Ruy Teixiera,...Ruy Teixiera...,1.0,2025-10-22
RECORD-00006_REL_020,RECORD-00006,P0001,Eric Nelson,Mentions,P0008,Josh Marshall,"I met with the then Washington Editor of The American Prospect, Josh Marshall.",1.0,2025-10-22
RECORD-00006_REL_021,RECORD-00006,P0008,Josh Marshall,Affiliated With,O0008,The American Prospect,Washington Editor of The American Prospect,1.0,2025-10-22
RECORD-00006_REL_022,RECORD-00006,P0001,Eric Nelson,Discusses,C0002,Press Release Journalism,"They don’t fall into press release journalism, or at least not the blogs we all actually read.",1.0,2025-10-22
RECORD-00006_REL_023,RECORD-00006,P0001,Eric Nelson,Mentions,P0009,Andrew Sullivan,"If Andrew Sullivan and Jeff Jarvis, two former major magazine editors, aren’t the mainstream media, then I don’t know what that term means.",1.0,2025-10-22
RECORD-00006_REL_024,RECORD-00006,P0001,Eric Nelson,Mentions,P0010,Jeff Jarvis,"If Andrew Sullivan and Jeff Jarvis, two former major magazine editors, aren’t the mainstream media, then I don’t know what that term means.",1.0,2025-10-22
RECORD-00006_REL_025,RECORD-00006,P0011,Ken Smith,Affiliated With,O0009,Weblogs in Higher Education,"Ken Smith, at Weblogs in Higher Education, responds to this post.",1.0,2025-10-22
RECORD-00006_REL_026,RECORD-00006,P0012,Mark Glaser,Affiliated With,O0010,Online Journalism Review,"Mark Glaser, columnist for Online Journalism Review",1.0,2025-10-22
RECORD-00006_REL_027,RECORD-00006,P0012,Mark Glaser,Mentions,O0011,About.com,"Mark Glaser... explains why NYT spent $410 million to buy site. How About.com trains and uses its “guides,”...",1.0,2025-10-22
RECORD-00006_REL_028,RECORD-00006,P0012,Mark Glaser,Mentions,O0002,The New York Times,"explains why NYT spent $410 million to buy site. How About.com trains and uses its “guides,”...",1.0,2025-10-22
RECORD-00006_REL_029,RECORD-00006,P0013,Len Apcar,Affiliated With,O0002,The New York Times,"Jeff Jarvis gave this report about a conference we were both at with Len Apcar, Editor of the New York Times site",1.0,2025-10-22
RECORD-00006_REL_030,RECORD-00006,P0013,Len Apcar,Mentions,O0011,About.com,Len Apcar...said he is “ecstatic we bought About.com because it says the New York Times is not a newspaper company.”,1.0,2025-10-22
RECORD-00006_REL_031,RECORD-00006,P0013,Len Apcar,Mentions,O0012,Dow Jones,More than one person in this room saw the About.com and the Dow Jones/Marketplace deals as very important for the future of old media,1.0,2025-10-22
RECORD-00006_REL_032,RECORD-00006,P0013,Len Apcar,Mentions,O0013,Marketplace,More than one person in this room saw the About.com and the Dow Jones/Marketplace deals as very important for the future of old media,1.0,2025-10-22
RECORD-00006_REL_033,RECORD-00006,P0001,Eric Nelson,Discusses,C0003,Age of Insight,"One idea I’m always pitching to Jay, and anyone else who will listen, is that we’ve moved from the “Information Age” to the “Age of Insight.”",1.0,2025-10-22
RECORD-00006_REL_035,RECORD-00006,P0001,Eric Nelson,Mentions,E0005,Bush announced his budget,"When Bush announced his budget, for instance, you could get that information from any one of thousands of sources.",1.0,2025-10-22
RECORD-00019_REL_001,RECORD-00019,O0002,The New York Times,Discusses,W0010,Obama’s youthful drug use,“vetting” stories that went awry at the New York Times: Obama’s youthful drug use,0.9,2025-10-22
RECORD-00019_REL_002,RECORD-00019,O0002,The New York Times,Discusses,W0011,Hillary’s marriage as Topic A among prominent Democrats,“vetting” stories that went awry at the New York Times: Hillary’s marriage,0.9,2025-10-22
RECORD-00019_REL_003,RECORD-00019,O0002,The New York Times,Discusses,W0012,McCain’s friendship with a lobbyist,“vetting” stories that went awry at the New York Times: McCain’s friendship with a lobbyist,0.9,2025-10-22
RECORD-00019_REL_004,RECORD-00019,P0053,Michael Scherer,Affiliated With,O0002,The New York Times,As Time’s Michael Scherer wrote,0.9,2025-10-22
RECORD-00019_REL_005,RECORD-00019,O0023,The Washington Post,Published In,W0013,"We Scream, We Swoon. How Dumb Can We Get?","Washington Post Sunday when it published We Scream, We Swoon.",0.9,2025-10-22
RECORD-00019_REL_006,RECORD-00019,P0056,John Pomfret,Affiliated With,O0023,The Washington Post,"The editor responsible, John Pomfret, told Laura Rozen",0.9,2025-10-22
RECORD-00019_REL_007,RECORD-00019,P0058,Charlotte Allen,Affiliated With,O0023,The Washington Post,The Washington Post’s Outlook section published a piece by Charlotte Allen,0.9,2025-10-22
RECORD-00019_REL_008,RECORD-00019,P0066,Michael Dobbs,Affiliated With,O0023,The Washington Post,reporter Michael Dobbs,0.9,2025-10-22
RECORD-00019_REL_009,RECORD-00019,O0023,The Washington Post,Discusses,W0014,The Fact Checker,Washington Post has this nifty “truth watch” feature called The Fact Checker.,0.9,2025-10-22
RECORD-00019_REL_010,RECORD-00019,P0069,Jim Hoagland,Affiliated With,O0023,The Washington Post,"Jim Hoagland, columnist for the same Post",0.9,2025-10-22
RECORD-00019_REL_011,RECORD-00019,P0070,Matt Welch,Criticizes,P0069,Jim Hoagland,I did like Matt Welch’s exasperated reply to Hoagland: “How ‘bout just doing a better job next time?”,0.9,2025-10-22
RECORD-00019_REL_012,RECORD-00019,C0007,Anti-veneration,Mentions,C0008,Truthiness,Anti-veneration is not a guarantor of truth but an invitation to truthiness.,0.8,2025-10-22
RECORD-00020_REL_001,RECORD-00020,P0072,Jeff Bezos,Discusses,C0004,View from Nowhere,Jeff Bezos's understanding of View from Nowhere,0.8,2025-10-22
RECORD-00020_REL_002,RECORD-00020,P0072,Jeff Bezos,Affiliated With,O0023,The Washington Post,Washington Post owner,1.0,2025-10-22
RECORD-00020_REL_003,RECORD-00020,P0005,Jay Rosen,Originated By,C0004,View from Nowhere,Jay Rosen first identified what he called “the view from nowhere”,1.0,2025-10-22
RECORD-00020_REL_004,RECORD-00020,C0004,View from Nowhere,Discusses,O0023,The Washington Post,Discusses how the Washington Post's stance relates to View From Nowhere,0.7,2025-10-22
RECORD-00020_REL_005,RECORD-00020,P0072,Jeff Bezos,Criticizes,C0004,View from Nowhere,Thinks it's a principled decision,0.6,2025-10-22
RECORD-00020_REL_006,RECORD-00020,O0023,The Washington Post,Affiliated With,P0075,Eugene Meyer,publisher of The Washington Post,1.0,2025-10-22
RECORD-00020_REL_007,RECORD-00020,O0002,The New York Times,Mentions,P0073,Donald Trump,"The New York Times finds a vast, disturbing web of paranoid conspiracies shared by the former president each day.",1.0,2025-10-22
RECORD-00020_REL_008,RECORD-00020,O0002,The New York Times,Affiliated With,P0076,Neil Bedi,The Times analyzed thousands of Mr. Trump’s posts and reposts over a six-month period in 2024,1.0,2025-10-22
RECORD-00020_REL_009,RECORD-00020,O0002,The New York Times,Affiliated With,P0077,Lazaro Gamio,The Times analyzed thousands of Mr. Trump’s posts and reposts over a six-month period in 2024,1.0,2025-10-22
RECORD-00020_REL_010,RECORD-00020,O0002,The New York Times,Affiliated With,P0078,Ishaan Jhaveri,The Times analyzed thousands of Mr. Trump’s posts and reposts over a six-month period in 2024,1.0,2025-10-22
RECORD-00020_REL_011,RECORD-00020,O0002,The New York Times,Affiliated With,P0079,Devon Lum,The Times analyzed thousands of Mr. Trump’s posts and reposts over a six-month period in 2024,1.0,2025-10-22
RECORD-00020_REL_012,RECORD-00020,O0002,The New York Times,Affiliated With,P0080,Haley Willis,The Times analyzed thousands of Mr. Trump’s posts and reposts over a six-month period in 2024,1.0,2025-10-22
RECORD-00020_REL_013,RECORD-00020,O0002,The New York Times,Affiliated With,P0081,Karen Yourish,The Times analyzed thousands of Mr. Trump’s posts and reposts over a six-month period in 2024,1.0,2025-10-22
RECORD-00020_REL_015,RECORD-00020,P0083,David Gilbert,Affiliated With,O0043,Wired,"Surveying the most recent nonsense at Wired, David Gilbert writes:",1.0,2025-10-22
RECORD-00020_REL_017,RECORD-00020,P0084,Spiro Agnew,Discusses,E0006,Watergate scandal,Ever since Vice President Spiro Agnew dismissed the press as out-of-touch elites during the Watergate scandal,1.0,2025-10-22
RECORD-00021_REL_001,RECORD-00021,O0045,Republican Party,Supports,P0073,Donald Trump,The Republican Party has made peace with being the party of Donald Trump.,0.9,2025-10-22
RECORD-00021_REL_002,RECORD-00021,P0005,Jay Rosen,Discusses,P0073,Donald Trump,"Jay Rosen giving a talk about what Trump's election, if it happens in November 2024, will mean for the rest of us.",0.8,2025-10-22
RECORD-00021_REL_003,RECORD-00021,P0005,Jay Rosen,Affiliated With,O0046,Supreme Court,Jay Rosen is a professor of journalism at New York University,1.0,2025-10-22
RECORD-00021_REL_004,RECORD-00021,O0045,Republican Party,Affiliated With,O0046,Supreme Court,Supreme Court because of the Republican Party's nominations to it,0.8,2025-10-22
RECORD-00021_REL_005,RECORD-00021,P0073,Donald Trump,Discusses,W0016,Project 2025,So this is seen as being Trump's manifesto if he wins election again.,0.7,2025-10-22
RECORD-00021_REL_006,RECORD-00021,P0073,Donald Trump,Criticizes,O0002,The New York Times,Trump has been successful in his description of the mainstream media as the enemy of the people,0.9,2025-10-22
RECORD-00021_REL_007,RECORD-00021,P0073,Donald Trump,Criticizes,O0023,The Washington Post,Trump has been successful in his description of the mainstream media as the enemy of the people,0.9,2025-10-22
RECORD-00021_REL_008,RECORD-00021,P0005,Jay Rosen,Originated By,C0009,Freedom from Fact,Freedom from fact is my term. It's not something that he would ever describe as his modus operandi.,1.0,2025-10-22
RECORD-00021_REL_009,RECORD-00021,P0005,Jay Rosen,Originated By,C0010,Verification in Reverse,"something else that I call verification in reverse, which is part of freedom from fact, was a part of his landing on the political stage",1.0,2025-10-22
RECORD-00021_REL_010,RECORD-00021,P0090,Steve Bannon,Affiliated With,P0073,Donald Trump,"This is his former press advisor, Steve Bannon, now in jail, as we speak.",0.8,2025-10-22
RECORD-00021_REL_011,RECORD-00021,P0090,Steve Bannon,Affiliated With,O0047,Breitbart,"The guy who ran Breitbart, the alt-right news website.",0.9,2025-10-22
RECORD-00021_REL_012,RECORD-00021,P0090,Steve Bannon,Discusses,O0002,The New York Times,"In 2018, he said something really important, which is the Democrats don't matter. The real opposition is the media.",0.8,2025-10-22
RECORD-00021_REL_013,RECORD-00021,P0090,Steve Bannon,Discusses,O0023,The Washington Post,"In 2018, he said something really important, which is the Democrats don't matter. The real opposition is the media.",0.8,2025-10-22
RECORD-00021_REL_014,RECORD-00021,O0002,The New York Times,Mentions,P0073,Donald Trump,"And I've heard you talking on a panel about the way in which the big newspapers in New York and Washington will be created by and read by progressives, read by Democrats. So even if they attempt to ho",0.7,2025-10-22
RECORD-00021_REL_015,RECORD-00021,O0023,The Washington Post,Mentions,P0073,Donald Trump,"And I've heard you talking on a panel about the way in which the big newspapers in New York and Washington will be created by and read by progressives, read by Democrats. So even if they attempt to ho",0.7,2025-10-22
RECORD-00022_REL_001,RECORD-00022,O0419,CBS News,Mentions,P0086,Joe Biden,Democratic presidential nominee Joe Biden was confronted by a CBS reporter,0.9,2025-10-22
RECORD-00022_REL_002,RECORD-00022,P0092,Rudy Giuliani,Affiliated With,O0021,New York Post,"story the reporter was referencing, which was peddled to the Post by Rudy Giuliani",0.8,2025-10-22
RECORD-00022_REL_003,RECORD-00022,P0090,Steve Bannon,Originated By,C0012,Flood the zone with shit,a strategy that Steve Bannon colorfully dubbed “flooding the zone with shit.”,1.0,2025-10-22
